Period,Total,Annual Growth Rate(%),New Jobseekers,Annual Growth Rate(%).1,Subtotal of Experienced Jobseekers,Annual Growth Rate(%).2,Business Shurnk or Establishment Closed,Annual Growth Rate(%).3,Not Satisfied to That Job,Annual Growth Rate(%).4,Ill Health,Annual Growth Rate(%).5,Seasonal or Temporary Work of That Job Completed,Annual Growth Rate(%).6,Female Got Married or Gave Birth,Annual Growth Rate(%).7,Retirement,Annual Growth Rate(%).8,Busy in Housekeeping,Annual Growth Rate(%).9,Others,Annual Growth Rate(%).10
2015,440.0,-3.64,101.0,-4.02,339.0,-3.53,116.0,-9.55,161.0,-0.36,9.0,3.78,44.0,3.32,2.0,9.8,1.0,-23.96,2.0,-21.54,5.0,-11.73
2016,460.0,4.44,109.0,8.25,351.0,3.31,121.0,4.49,162.0,0.67,10.0,10.4,47.0,6.8,3.0,10.48,1.0,-4.88,3.0,37.06,5.0,1.79
2017,443.0,-3.52,104.0,-4.22,339.0,-3.31,114.0,-5.98,163.0,0.95,7.0,-30.17,46.0,-2.15,2.0,-5.74,1.0,0.06,2.0,-25.34,4.0,-20.78
2018,440.0,-0.7,104.0,-0.09,336.0,-0.89,103.0,-9.33,168.0,2.76,6.0,-16.69,49.0,6.68,2.0,4.85,1.0,-30.97,3.0,40.89,4.0,13.46
2019,446.0,1.22,107.0,2.28,339.0,0.89,105.0,1.82,174.0,3.58,5.0,-13.51,43.0,-11.32,3.0,10.33,1.0,-10.76,3.0,14.01,5.0,18.43
2020,460.0,3.28,102.0,-4.55,358.0,5.74,132.0,25.87,171.0,-1.56,7.0,33.95,38.0,-12.72,2.0,-40.22,1.0,-14.52,3.0,-1.98,5.0,1.4
2021,471.0,2.39,95.0,-6.89,376.0,5.03,166.0,25.5,157.0,-8.08,9.0,37.99,34.0,-9.21,1.0,-49.31,1.0,107.92,4.0,10.36,4.0,-19.44
2022,434.0,-7.81,95.0,-0.26,340.0,-9.71,140.0,-15.76,150.0,-4.67,10.0,3.37,32.0,-7.39,1.0,24.48,0.0,-66.83,4.0,0.78,4.0,-8.46
2023,415.0,-4.38,91.0,-3.75,324.0,-4.56,114.0,-18.22,165.0,10.3,7.0,-24.53,30.0,-4.29,1.0,-7.45,0.0,31.87,3.0,-23.47,3.0,-24.47
