,"Principal Figures(2008SNA)",
,,,,,,,,,,,,,,,""
"Period","Population (Mid-Year,Persons)","Exchange Rate (N.T.$ per U.S.$)","GDP Growth Rate (%)","GDP (Million N.T.$,at Current Prices)","GDP (Million U.S.$,at Current Prices)","Per Capita GDP ( N.T.$,at Current Prices )","Per Capita GDP ( U.S.$,at Current Prices )","GNI (Million N.T.$,at Current Prices)","GNI (Million U.S.$,at Current Prices)","Per Capita GNI ( N.T.$,at Current Prices )","Per Capita GNI ( U.S.$,at Current Prices )","NI (Million N.T.$,at Current Prices)","NI (Million U.S.$,at Current Prices)","Per Capita NI ( N.T.$,at Current Prices)","Per Capita NI ( U.S.$,at Current Prices )"
"2015",23462914,31.91,1.47,17055080,534474,726895,22780,17494741,548253,745634,23367,14860645,465705,633367,19849
"2016",23515945,32.33,2.17,17555268,543002,746526,23091,18006409,556957,765711,23684,15305453,473413,650854,20132
"2017",23555522,30.44,3.66,18012387,591734,764678,25121,18459748,606431,783670,25745,15732712,516843,667899,21941
"2018",23580080,30.16,2.91,18420039,610744,781169,25901,18868140,625601,800173,26531,15991520,530223,678179,22486
"2019",23596027,30.93,3.06,18974097,613453,804123,25998,19529545,631411,827662,26759,16366644,529151,693619,22425
"2020",23582179,29.58,3.42,20023752,676935,849105,28705,20682033,699190,877020,29649,17337957,586138,735214,24855
"2021",23468275,28.02,6.72,21773291,777062,927776,33111,22348883,797605,952302,33987,18917658,675148,806095,28769
"2022",23319977,29.81,2.68,22820430,765529,978579,32827,23516012,788863,1008406,33828,19702249,660928,844866,28342
"2023",23342541,31.16,1.12,23596734,757276,1010890,32442,24384813,782568,1044651,33525,19996540,641737,856657,27492


"Footnote："
"1.2024Q3 revised, 2024Q4 preliminary."
"2.2024 preliminary."
""
